STAR version=2.7.11b
STAR compilation time,server,dir=2025-07-24T03:06:21+0000 :/opt/conda/conda-bld/star_1753326220084/work/source
##### Command Line:
/home/ssa163/miniconda3/envs/eclip/bin/STAR-avx2 --runMode genomeGenerate --runThreadN 11 --genomeDir /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19 --genomeFastaFiles /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/hg19.fa --sjdbGTFfile /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/gencode.v19.annotation.gtf --sjdbOverhang 74
##### Initial USER parameters from Command Line:
###### All USER parameters from Command Line:
runMode                       genomeGenerate        ~RE-DEFINED
runThreadN                    11     ~RE-DEFINED
genomeDir                     /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19     ~RE-DEFINED
genomeFastaFiles              /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/hg19.fa        ~RE-DEFINED
sjdbGTFfile                   /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/gencode.v19.annotation.gtf     ~RE-DEFINED
sjdbOverhang                  74     ~RE-DEFINED
##### Finished reading parameters from all sources

##### Final user re-defined parameters-----------------:
runMode                           genomeGenerate   
Writing 1175668144 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_12 ; empty space on disk = 2412098470543360 bytes ... done
Writing 1344245672 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_11 ; empty space on disk = 2412109697646592 bytes ... done
Writing 1212880264 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_19 ; empty space on disk = 2412106662019072 bytes ... done
Writing 1312865800 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_13 ; empty space on disk = 2412106662019072 bytes ...Writing 1168085224 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_18 ; empty space on disk = 2412106662019072 bytes ... done
 done
Writing 1126118200 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_16 ; empty space on disk = 2412103808843776 bytes ... done
Writing 1287421264 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_14 ; empty space on disk = 2412103808843776 bytes ... done
Writing 1223807360 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_17 ; empty space on disk = 2412106008756224 bytes ... done
Writing 1183237360 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_20 ; empty space on disk = 2412096027361280 bytes ... done
Writing 1318871056 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_15 ; empty space on disk = 2412092590129152 bytes ... done
Writing 1340527856 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_21 ; empty space on disk = 2412107252367360 bytes ... done
Writing 1266278144 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_23 ; empty space on disk = 2412208962142208 bytes ... done
Writing 1331869432 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_22 ; empty space on disk = 2412208962142208 bytes ... done
Writing 1129412896 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_29 ; empty space on disk = 2412204736380928 bytes ... done
Writing 1227404784 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_26 ; empty space on disk = 2412204736380928 bytes ... done
Writing 1344395728 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_24 ; empty space on disk = 2412204736380928 bytes ... done
Writing 1072268592 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_30 ; empty space on disk = 2412189036052480 bytes ... done
Writing 1343055120 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_28 ; empty space on disk = 2412189036052480 bytes ... done
Writing 1270852624 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_25 ; empty space on disk = 2412178509398016 bytes ... done
Writing 1221112160 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_31 ; empty space on disk = 2412178509398016 bytes ... done
Writing 1244972344 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_27 ; empty space on disk = 2412169934143488 bytes ... done
Writing 1326174280 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_32 ; empty space on disk = 2412169934143488 bytes ... done
Writing 716913224 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_37 ; empty space on disk = 2412121488883712 bytes ... done
Writing 1132194688 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_33 ; empty space on disk = 2412118882123776 bytes ... done
Writing 1254063336 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_34 ; empty space on disk = 2412118882123776 bytes ... done
Writing 1240716160 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_35 ; empty space on disk = 2412123684601856 bytes ... done
Writing 1320154704 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA_36 ; empty space on disk = 2412137747054592 bytes ... done
Jan 31 02:44:44 ... loading chunks from disk, packing SA...
Jan 31 02:46:27 ... finished generating suffix array
Jan 31 02:46:27 ... generating Suffix Array index
Jan 31 02:49:01 ... completed Suffix Array index
Jan 31 02:49:02   Finished preparing junctions
Jan 31 02:49:02 ..... inserting junctions into the genome indices
Jan 31 02:49:39   Finished SA search: number of new junctions=344580, old junctions=0
Jan 31 02:50:07   Finished sorting SA indicesL nInd=101995632
Genome size with junctions=3203099732  3151757312   51342420
GstrandBit1=32   GstrandBit=32
Jan 31 02:51:13   Finished inserting junction indices
Jan 31 02:51:30   Finished SAi
Jan 31 02:51:30 ..... finished inserting junctions into genome
Jan 31 02:51:31 ... writing Genome to disk ...
Writing 3203099732 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//Genome ; empty space on disk = 2412305763532800 bytes ... done
SA size in bytes: 24323543297
Jan 31 02:51:35 ... writing Suffix Array to disk ...
Writing 24323543297 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SA ; empty space on disk = 2412305763532800 bytes ... done
Jan 31 02:52:10 ... writing SAindex to disk
Writing 8 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SAindex ; empty space on disk = 2412298182328320 bytes ... done
Writing 120 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SAindex ; empty space on disk = 2412298182328320 bytes ... done
Writing 1565873491 bytes into /mnt/vstor/SOM_CCCC_JGS25/sayyar/IFIT1-IFIT2-secondary-analysis/data/reference/STAR_index_hg19//SAindex ; empty space on disk = 2412298182328320 bytes ... done
Jan 31 02:52:13 ..... finished successfully
DONE: Genome generation, EXITING
