transcript_id,gene_id,gene_name,gene_type,chrom,utr5_start,utr5_end,strand,utr5_length,bound
ENST00000437760.1,ENSG00000131591.13,C1orf159,protein_coding,chr1,1019833,1051736,-,435,False
ENST00000462097.1,ENSG00000131591.13,C1orf159,protein_coding,chr1,1026923,1051736,-,526,False
ENST00000475119.1,ENSG00000131591.13,C1orf159,protein_coding,chr1,1026923,1051741,-,481,False
ENST00000442117.1,ENSG00000131591.13,C1orf159,protein_coding,chr1,1026923,1028193,-,383,False
ENST00000427787.1,ENSG00000131591.13,C1orf159,protein_coding,chr1,1026923,1028193,-,383,False
ENST00000480643.1,ENSG00000131591.13,C1orf159,protein_coding,chr1,1026923,1051469,-,535,False
ENST00000379290.1,ENSG00000162571.9,TTLL10,protein_coding,chr1,1109282,1133315,+,264,False
ENST00000379289.1,ENSG00000162571.9,TTLL10,protein_coding,chr1,1109285,1133313,+,240,False
ENST00000379288.3,ENSG00000162571.9,TTLL10,protein_coding,chr1,1115076,1121244,+,902,False
ENST00000486379.1,ENSG00000162571.9,TTLL10,protein_coding,chr1,1131825,1132855,+,292,False
ENST00000328596.6,ENSG00000186891.9,TNFRSF18,protein_coding,chr1,1138887,1138973,-,86,False
ENST00000379268.2,ENSG00000186891.9,TNFRSF18,protein_coding,chr1,1138890,1142071,-,456,False
ENST00000486728.1,ENSG00000186891.9,TNFRSF18,protein_coding,chr1,1139223,1141060,-,220,False
ENST00000379265.5,ENSG00000186891.9,TNFRSF18,protein_coding,chr1,1139223,1139226,-,3,False
ENST00000379236.3,ENSG00000186827.6,TNFRSF4,protein_coding,chr1,1146705,1149512,-,237,False
ENST00000360001.6,ENSG00000078808.12,SDF4,protein_coding,chr1,1152287,1167381,-,870,False
ENST00000465727.1,ENSG00000078808.12,SDF4,protein_coding,chr1,1152310,1167411,-,1333,False
ENST00000263741.7,ENSG00000078808.12,SDF4,protein_coding,chr1,1152310,1167411,-,1035,False
ENST00000545427.1,ENSG00000078808.12,SDF4,protein_coding,chr1,1156078,1167370,-,255,False
ENST00000379198.2,ENSG00000176022.3,B3GALT6,protein_coding,chr1,1167628,1170421,+,1806,False
ENST00000330388.2,ENSG00000184163.3,FAM132A,protein_coding,chr1,1177832,1182102,-,130,False
ENST00000450390.2,ENSG00000160087.16,UBE2J2,protein_coding,chr1,1189288,1209233,-,2326,False
ENST00000347370.2,ENSG00000160087.16,UBE2J2,protein_coding,chr1,1189293,1209234,-,1766,False
ENST00000349431.6,ENSG00000160087.16,UBE2J2,protein_coding,chr1,1189849,1209265,-,956,False
ENST00000339385.6,ENSG00000160087.16,UBE2J2,protein_coding,chr1,1190284,1190585,-,301,False
ENST00000348298.7,ENSG00000160087.16,UBE2J2,protein_coding,chr1,1190284,1209244,-,656,False
ENST00000400929.2,ENSG00000160087.16,UBE2J2,protein_coding,chr1,1190364,1209235,-,436,False
ENST00000464036.1,ENSG00000160087.16,UBE2J2,protein_coding,chr1,1190427,1209244,-,941,False
ENST00000360466.2,ENSG00000160087.16,UBE2J2,protein_coding,chr1,1190543,1209106,-,270,False
ENST00000400930.4,ENSG00000160087.16,UBE2J2,protein_coding,chr1,1190557,1209213,-,196,False
ENST00000473215.1,ENSG00000160087.16,UBE2J2,protein_coding,chr1,1190647,1209229,-,896,False
ENST00000435198.1,ENSG00000160087.16,UBE2J2,protein_coding,chr1,1208756,1209224,-,468,False
ENST00000509720.1,ENSG00000160087.16,UBE2J2,protein_coding,chr1,1192422,1209207,-,291,False
ENST00000466752.1,ENSG00000160087.16,UBE2J2,protein_coding,chr1,1192371,1209195,-,754,False
ENST00000503294.1,ENSG00000160087.16,UBE2J2,protein_coding,chr1,1192390,1209213,-,682,False
ENST00000477894.1,ENSG00000160087.16,UBE2J2,protein_coding,chr1,1192428,1209234,-,467,False
ENST00000422076.1,ENSG00000160087.16,UBE2J2,protein_coding,chr1,1208878,1209217,-,339,False
ENST00000502382.1,ENSG00000160087.16,UBE2J2,protein_coding,chr1,1206889,1209234,-,317,False
ENST00000488418.1,ENSG00000160087.16,UBE2J2,protein_coding,chr1,1208232,1208851,-,619,False
ENST00000379116.5,ENSG00000162572.15,SCNN1D,protein_coding,chr1,1215815,1227399,+,638,False
ENST00000379101.4,ENSG00000162572.15,SCNN1D,protein_coding,chr1,1215851,1226753,+,1284,False
ENST00000338555.2,ENSG00000162572.15,SCNN1D,protein_coding,chr1,1215967,1227404,+,1561,False
ENST00000470022.1,ENSG00000162572.15,SCNN1D,protein_coding,chr1,1217304,1217638,+,228,False
ENST00000325425.8,ENSG00000162572.15,SCNN1D,protein_coding,chr1,1217488,1227404,+,567,False
ENST00000400928.3,ENSG00000162572.15,SCNN1D,protein_coding,chr1,1217575,1227409,+,589,False
ENST00000354700.5,ENSG00000131584.14,ACAP3,protein_coding,chr1,1227755,1243398,-,1394,False
ENST00000353662.3,ENSG00000131584.14,ACAP3,protein_coding,chr1,1227763,1243269,-,1383,False
ENST00000354980.3,ENSG00000131584.14,ACAP3,protein_coding,chr1,1235575,1243201,-,426,False
ENST00000379031.5,ENSG00000169972.7,PUSL1,protein_coding,chr1,1243946,1247057,+,378,False
ENST00000467712.1,ENSG00000169972.7,PUSL1,protein_coding,chr1,1244200,1245070,+,500,False
ENST00000435064.1,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1246976,1260071,-,348,False
ENST00000411962.1,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1246980,1260053,-,326,False
ENST00000421495.2,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1246985,1260017,-,842,False
ENST00000458452.3,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1246985,1260030,-,2385,False
ENST00000419704.1,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1246985,1260033,-,301,False
ENST00000540437.1,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1246985,1259989,-,712,False
ENST00000532772.1,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1247006,1260008,-,1480,False
ENST00000450926.2,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1247198,1260050,-,105,False
ENST00000527098.1,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1247202,1260046,-,1728,False
ENST00000545578.1,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1247202,1260017,-,262,False
ENST00000528879.1,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1247663,1260028,-,690,False
ENST00000531377.1,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1248166,1250330,-,654,False
ENST00000527383.1,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1248318,1250330,-,567,False
ENST00000434694.2,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1259988,1260010,-,22,False
ENST00000526797.1,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1250205,1260038,-,416,False
ENST00000526332.1,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1254732,1260040,-,252,False
ENST00000430786.1,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1250257,1260005,-,546,False
ENST00000527719.1,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1257333,1260051,-,122,False
ENST00000530031.1,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1259988,1260039,-,51,False
ENST00000534345.1,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1259988,1260051,-,63,False
ENST00000531019.1,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1254760,1260040,-,381,False
ENST00000498476.2,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1259988,1260040,-,52,False
ENST00000470679.1,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1254849,1256020,-,421,False
ENST00000525285.1,ENSG00000127054.14,CPSF3L,protein_coding,chr1,1255857,1258509,-,388,False
ENST00000343938.4,ENSG00000224051.2,GLTPD1,protein_coding,chr1,1260146,1264277,+,1548,False
ENST00000488011.1,ENSG00000224051.2,GLTPD1,protein_coding,chr1,1260620,1262290,+,430,False
ENST00000339381.5,ENSG00000169962.4,TAS1R3,protein_coding,chr1,1266693,1270686,+,877,False
ENST00000378891.5,ENSG00000107404.13,DVL1,protein_coding,chr1,1270655,1284492,-,916,False
ENST00000378888.5,ENSG00000107404.13,DVL1,protein_coding,chr1,1270655,1284730,-,1154,False
ENST00000309212.6,ENSG00000162576.12,MXRA8,protein_coding,chr1,1288070,1293915,-,947,False
ENST00000445648.2,ENSG00000162576.12,MXRA8,protein_coding,chr1,1288071,1293923,-,651,False
ENST00000477278.2,ENSG00000162576.12,MXRA8,protein_coding,chr1,1288071,1297157,-,1429,False
ENST00000342753.4,ENSG00000162576.12,MXRA8,protein_coding,chr1,1288071,1293920,-,951,False
ENST00000338370.3,ENSG00000175756.9,AURKAIP1,protein_coding,chr1,1309109,1310537,-,475,True
ENST00000338338.5,ENSG00000175756.9,AURKAIP1,protein_coding,chr1,1309109,1310875,-,450,True
ENST00000321751.5,ENSG00000175756.9,AURKAIP1,protein_coding,chr1,1309111,1310549,-,201,True
ENST00000378853.3,ENSG00000175756.9,AURKAIP1,protein_coding,chr1,1309116,1310553,-,278,True
ENST00000482621.1,ENSG00000221978.7,CCNL2,protein_coding,chr1,1321861,1330853,-,1923,False
ENST00000408952.5,ENSG00000221978.7,CCNL2,protein_coding,chr1,1321861,1333684,-,1165,False
ENST00000400809.3,ENSG00000221978.7,CCNL2,protein_coding,chr1,1321874,1334692,-,745,False
ENST00000481223.2,ENSG00000221978.7,CCNL2,protein_coding,chr1,1322087,1334691,-,2107,False
ENST00000488340.1,ENSG00000221978.7,CCNL2,protein_coding,chr1,1322611,1334708,-,917,False
ENST00000408918.4,ENSG00000221978.7,CCNL2,protein_coding,chr1,1327667,1334697,-,508,False
ENST00000425598.2,ENSG00000221978.7,CCNL2,protein_coding,chr1,1328823,1334705,-,121,False
ENST00000497013.1,ENSG00000221978.7,CCNL2,protein_coding,chr1,1334045,1334336,-,291,False
ENST00000448629.2,ENSG00000224870.3,RP4-758J18.2,protein_coding,chr1,1334901,1336467,+,386,False
ENST00000444362.1,ENSG00000224870.3,RP4-758J18.2,protein_coding,chr1,1334906,1337426,+,1483,False
ENST00000576232.1,ENSG00000224870.3,RP4-758J18.2,protein_coding,chr1,1335667,1335988,+,321,False
ENST00000570344.1,ENSG00000224870.3,RP4-758J18.2,protein_coding,chr1,1335684,1335924,+,240,False
ENST00000447725.2,ENSG00000224870.3,RP4-758J18.2,protein_coding,chr1,1335506,1337386,+,1579,False
ENST00000344843.7,ENSG00000242485.1,MRPL20,protein_coding,chr1,1337287,1342693,-,274,False
ENST00000492508.1,ENSG00000242485.1,MRPL20,protein_coding,chr1,1337561,1337951,-,390,False
ENST00000482352.1,ENSG00000242485.1,MRPL20,protein_coding,chr1,1340488,1342670,-,584,False
ENST00000520296.1,ENSG00000235098.4,ANKRD65,protein_coding,chr1,1353799,1356824,-,1437,False
ENST00000427211.1,ENSG00000235098.4,ANKRD65,protein_coding,chr1,1353799,1357149,-,1454,False
ENST00000537107.1,ENSG00000235098.4,ANKRD65,protein_coding,chr1,1353803,1356650,-,817,False
ENST00000442470.1,ENSG00000235098.4,ANKRD65,protein_coding,chr1,1354517,1356640,-,354,False
ENST00000378821.3,ENSG00000205116.3,TMEM88B,protein_coding,chr1,1363164,1363167,+,3,False
ENST00000495558.1,ENSG00000179403.10,VWA1,protein_coding,chr1,1370240,1372338,+,318,False
ENST00000338660.5,ENSG00000179403.10,VWA1,protein_coding,chr1,1370902,1376145,+,1955,False
ENST00000404702.3,ENSG00000179403.10,VWA1,protein_coding,chr1,1370902,1378262,+,3565,False
ENST00000476993.1,ENSG00000179403.10,VWA1,protein_coding,chr1,1371050,1378262,+,3176,False
ENST00000471398.1,ENSG00000179403.10,VWA1,protein_coding,chr1,1371114,1371128,+,14,False
ENST00000378785.2,ENSG00000215915.5,ATAD3C,protein_coding,chr1,1385068,1405538,+,2626,False
ENST00000475091.2,ENSG00000215915.5,ATAD3C,protein_coding,chr1,1385293,1386063,+,131,False
ENST00000378741.3,ENSG00000160072.15,ATAD3B,protein_coding,chr1,1407142,1418486,+,629,False
ENST00000308647.7,ENSG00000160072.15,ATAD3B,protein_coding,chr1,1407148,1431582,+,504,False
ENST00000378756.3,ENSG00000197785.9,ATAD3A,protein_coding,chr1,1447530,1470065,+,734,False
ENST00000378755.5,ENSG00000197785.9,ATAD3A,protein_coding,chr1,1447554,1470065,+,710,False
ENST00000339113.4,ENSG00000197785.9,ATAD3A,protein_coding,chr1,1469449,1470065,+,616,False
ENST00000536055.1,ENSG00000197785.9,ATAD3A,protein_coding,chr1,1447909,1470067,+,811,False
ENST00000378733.4,ENSG00000205090.4,TMEM240,protein_coding,chr1,1470553,1475737,-,199,False
ENST00000425828.1,ENSG00000205090.4,TMEM240,protein_coding,chr1,1470586,1475833,-,198,False
ENST00000291386.3,ENSG00000160075.10,SSU72,protein_coding,chr1,1477052,1510249,-,708,False
ENST00000359060.4,ENSG00000160075.10,SSU72,protein_coding,chr1,1497724,1509964,-,2220,False
ENST00000366221.2,ENSG00000215014.3,AL645728.1,protein_coding,chr1,1510354,1511373,+,719,False
ENST00000422725.1,ENSG00000228594.1,C1orf233,protein_coding,chr1,1533391,1535476,-,1407,False
ENST00000520777.1,ENSG00000197530.8,MIB2,protein_coding,chr1,1550794,1565985,+,123,False
ENST00000357210.4,ENSG00000197530.8,MIB2,protein_coding,chr1,1550794,1565990,+,299,False
ENST00000360522.4,ENSG00000197530.8,MIB2,protein_coding,chr1,1550794,1565990,+,299,False
ENST00000378710.3,ENSG00000197530.8,MIB2,protein_coding,chr1,1550794,1565990,+,299,False
ENST00000355826.5,ENSG00000197530.8,MIB2,protein_coding,chr1,1550800,1565990,+,122,False
ENST00000518681.1,ENSG00000197530.8,MIB2,protein_coding,chr1,1550816,1565985,+,101,False
ENST00000505820.2,ENSG00000197530.8,MIB2,protein_coding,chr1,1550822,1565985,+,95,False
ENST00000489635.1,ENSG00000197530.8,MIB2,protein_coding,chr1,1550875,1565984,+,2650,False
ENST00000514363.1,ENSG00000197530.8,MIB2,protein_coding,chr1,1550909,1560420,+,250,False
ENST00000487053.1,ENSG00000197530.8,MIB2,protein_coding,chr1,1551258,1565984,+,804,False
ENST00000502470.1,ENSG00000197530.8,MIB2,protein_coding,chr1,1551266,1560212,+,528,False
ENST00000378712.1,ENSG00000197530.8,MIB2,protein_coding,chr1,1551284,1565984,+,631,False
ENST00000510793.1,ENSG00000197530.8,MIB2,protein_coding,chr1,1551653,1558832,+,363,False
ENST00000504599.1,ENSG00000197530.8,MIB2,protein_coding,chr1,1551689,1565984,+,404,False
ENST00000503789.1,ENSG00000197530.8,MIB2,protein_coding,chr1,1552787,1558832,+,130,False
ENST00000378708.1,ENSG00000197530.8,MIB2,protein_coding,chr1,1552939,1565984,+,255,False
ENST00000506488.1,ENSG00000197530.8,MIB2,protein_coding,chr1,1552956,1565912,+,1812,False
ENST00000514234.1,ENSG00000197530.8,MIB2,protein_coding,chr1,1565907,1565984,+,77,False
ENST00000486072.1,ENSG00000197530.8,MIB2,protein_coding,chr1,1561830,1562309,+,397,False
ENST00000483015.1,ENSG00000197530.8,MIB2,protein_coding,chr1,1565907,1565969,+,62,False
ENST00000356026.5,ENSG00000189409.8,MMP23B,protein_coding,chr1,1567473,1570030,+,156,False
ENST00000472264.1,ENSG00000189409.8,MMP23B,protein_coding,chr1,1567541,1568499,+,59,False
ENST00000512731.1,ENSG00000189409.8,MMP23B,protein_coding,chr1,1567556,1569850,+,817,False
ENST00000378675.3,ENSG00000189409.8,MMP23B,protein_coding,chr1,1567557,1570030,+,151,False
ENST00000479814.1,ENSG00000189409.8,MMP23B,protein_coding,chr1,1569919,1570027,+,108,False
ENST00000435358.1,ENSG00000189409.8,MMP23B,protein_coding,chr1,1569919,1569944,+,25,False
ENST00000503792.1,ENSG00000189409.8,MMP23B,protein_coding,chr1,1569919,1569944,+,25,False
ENST00000490017.1,ENSG00000189409.8,MMP23B,protein_coding,chr1,1569998,1570639,+,269,False
ENST00000513088.2,ENSG00000248333.3,CDK11B,protein_coding,chr1,1570602,1571128,-,526,False
ENST00000407249.3,ENSG00000248333.3,CDK11B,protein_coding,chr1,1571099,1571128,-,29,False
ENST00000317673.7,ENSG00000248333.3,CDK11B,protein_coding,chr1,1571099,1571128,-,29,False
ENST00000340677.5,ENSG00000248333.3,CDK11B,protein_coding,chr1,1571099,1571128,-,29,False
ENST00000341832.6,ENSG00000248333.3,CDK11B,protein_coding,chr1,1571099,1571128,-,29,False
ENST00000341028.7,ENSG00000248333.3,CDK11B,protein_coding,chr1,1588935,1590473,-,112,False
ENST00000378662.1,ENSG00000189339.7,SLC35E2B,protein_coding,chr1,1592938,1624083,-,5046,False
ENST00000234800.6,ENSG00000189339.7,SLC35E2B,protein_coding,chr1,1592939,1624167,-,4711,False
ENST00000356200.3,ENSG00000008128.18,CDK11A,protein_coding,chr1,1634168,1654270,-,415,False
ENST00000378638.2,ENSG00000008128.18,CDK11A,protein_coding,chr1,1634319,1654270,-,191,False
ENST00000509982.1,ENSG00000008128.18,CDK11A,protein_coding,chr1,1634319,1654271,-,1046,False
ENST00000404249.3,ENSG00000008128.18,CDK11A,protein_coding,chr1,1634319,1655763,-,109,False
ENST00000460465.1,ENSG00000008128.18,CDK11A,protein_coding,chr1,1634319,1655763,-,1112,False
ENST00000357760.2,ENSG00000008128.18,CDK11A,protein_coding,chr1,1634319,1655763,-,109,False
ENST00000358779.5,ENSG00000008128.18,CDK11A,protein_coding,chr1,1634319,1655763,-,109,False
ENST00000378633.1,ENSG00000008128.18,CDK11A,protein_coding,chr1,1634319,1655763,-,109,False
ENST00000378635.3,ENSG00000008128.18,CDK11A,protein_coding,chr1,1637077,1655766,-,559,False
ENST00000479362.1,ENSG00000008128.18,CDK11A,protein_coding,chr1,1654257,1655471,-,246,False
ENST00000401096.2,ENSG00000008128.18,CDK11A,protein_coding,chr1,1654257,1655713,-,339,False
ENST00000355439.2,ENSG00000215790.2,SLC35E2,protein_coding,chr1,1656276,1677358,-,1340,False
ENST00000400924.1,ENSG00000215790.2,SLC35E2,protein_coding,chr1,1656852,1677431,-,419,False
ENST00000246421.4,ENSG00000215790.2,SLC35E2,protein_coding,chr1,1663680,1677431,-,632,False
ENST00000341426.5,ENSG00000008130.11,NADK,protein_coding,chr1,1682670,1709909,-,1897,False
ENST00000341991.3,ENSG00000008130.11,NADK,protein_coding,chr1,1682670,1710229,-,1760,False
ENST00000378625.1,ENSG00000008130.11,NADK,protein_coding,chr1,1682670,1711508,-,1880,False
ENST00000344463.4,ENSG00000008130.11,NADK,protein_coding,chr1,1682677,1709909,-,1890,False
ENST00000342348.5,ENSG00000008130.11,NADK,protein_coding,chr1,1683909,1690081,-,547,False
ENST00000498806.1,ENSG00000008130.11,NADK,protein_coding,chr1,1684413,1685074,-,155,False
ENST00000469045.1,ENSG00000008130.11,NADK,protein_coding,chr1,1685499,1688279,-,760,False
ENST00000489538.1,ENSG00000008130.11,NADK,protein_coding,chr1,1685619,1686107,-,253,False
ENST00000497186.1,ENSG00000008130.11,NADK,protein_coding,chr1,1685781,1688279,-,593,False
ENST00000400922.2,ENSG00000008130.11,NADK,protein_coding,chr1,1689970,1690014,-,44,False
ENST00000378609.4,ENSG00000078369.13,GNB1,protein_coding,chr1,1716728,1822495,-,2108,True
ENST00000439272.2,ENSG00000078369.13,GNB1,protein_coding,chr1,1756892,1822275,-,112,False
ENST00000434686.2,ENSG00000078369.13,GNB1,protein_coding,chr1,1756892,1821840,-,187,False
ENST00000437146.1,ENSG00000078369.13,GNB1,protein_coding,chr1,1756892,1763724,-,100,False
ENST00000307786.3,ENSG00000169885.5,CALML6,protein_coding,chr1,1846265,1848733,+,558,False
ENST00000378604.3,ENSG00000169885.5,CALML6,protein_coding,chr1,1846546,1848733,+,277,False
ENST00000378602.3,ENSG00000178821.8,TMEM52,protein_coding,chr1,1849028,1850236,-,536,False
ENST00000310991.3,ENSG00000178821.8,TMEM52,protein_coding,chr1,1849029,1850712,-,302,False
ENST00000378598.4,ENSG00000178821.8,TMEM52,protein_coding,chr1,1849283,1849394,-,111,False
ENST00000470931.2,ENSG00000178821.8,TMEM52,protein_coding,chr1,1849375,1850709,-,561,False
ENST00000416272.1,ENSG00000178821.8,TMEM52,protein_coding,chr1,1850704,1850708,-,4,False
ENST00000493964.1,ENSG00000142609.13,C1orf222,protein_coding,chr1,1853725,1853728,-,3,False
ENST00000378590.4,ENSG00000142609.13,C1orf222,protein_coding,chr1,1919400,1919565,-,165,False
ENST00000434971.2,ENSG00000142609.13,C1orf222,protein_coding,chr1,1919562,1935153,-,36,False
ENST00000378585.4,ENSG00000187730.6,GABRD,protein_coding,chr1,1950779,1962192,+,557,False
ENST00000378567.3,ENSG00000067606.11,PRKCZ,protein_coding,chr1,1981908,2116834,+,550,False
ENST00000468310.1,ENSG00000067606.11,PRKCZ,protein_coding,chr1,1981923,1982069,+,146,False
ENST00000503297.1,ENSG00000067606.11,PRKCZ,protein_coding,chr1,1982246,1986946,+,272,False
ENST00000400921.2,ENSG00000067606.11,PRKCZ,protein_coding,chr1,2004900,2116829,+,1067,False
ENST00000495347.1,ENSG00000067606.11,PRKCZ,protein_coding,chr1,2005157,2075777,+,635,False
ENST00000461106.2,ENSG00000067606.11,PRKCZ,protein_coding,chr1,2005424,2116629,+,452,False
ENST00000461465.1,ENSG00000067606.11,PRKCZ,protein_coding,chr1,2006126,2075777,+,295,False
ENST00000470596.1,ENSG00000067606.11,PRKCZ,protein_coding,chr1,2006293,2075777,+,494,False
ENST00000496325.1,ENSG00000067606.11,PRKCZ,protein_coding,chr1,2006682,2075777,+,351,False
ENST00000481140.1,ENSG00000067606.11,PRKCZ,protein_coding,chr1,2013686,2082375,+,494,False
ENST00000482686.1,ENSG00000067606.11,PRKCZ,protein_coding,chr1,2036154,2075777,+,395,False
ENST00000400920.1,ENSG00000067606.11,PRKCZ,protein_coding,chr1,2036154,2116832,+,782,False
ENST00000486681.1,ENSG00000067606.11,PRKCZ,protein_coding,chr1,2036177,2077474,+,558,False
ENST00000470986.1,ENSG00000067606.11,PRKCZ,protein_coding,chr1,2043092,2075777,+,379,False
ENST00000470511.1,ENSG00000067606.11,PRKCZ,protein_coding,chr1,2047643,2075777,+,321,False
ENST00000471018.2,ENSG00000067606.11,PRKCZ,protein_coding,chr1,2065076,2075777,+,578,False
ENST00000466352.1,ENSG00000067606.11,PRKCZ,protein_coding,chr1,2066251,2075777,+,489,False
ENST00000497183.1,ENSG00000067606.11,PRKCZ,protein_coding,chr1,2066428,2077474,+,447,False
ENST00000478770.2,ENSG00000067606.11,PRKCZ,protein_coding,chr1,2076825,2116555,+,501,False
ENST00000428120.1,ENSG00000162585.12,C1orf86,protein_coding,chr1,2115916,2124299,-,1736,False
ENST00000414253.1,ENSG00000162585.12,C1orf86,protein_coding,chr1,2115916,2126214,-,1631,False
ENST00000400919.3,ENSG00000162585.12,C1orf86,protein_coding,chr1,2115916,2126180,-,1872,False
ENST00000400918.3,ENSG00000162585.12,C1orf86,protein_coding,chr1,2116613,2126190,-,301,False
ENST00000378543.2,ENSG00000162585.12,C1orf86,protein_coding,chr1,2120986,2126189,-,233,False
ENST00000378546.4,ENSG00000162585.12,C1orf86,protein_coding,chr1,2120986,2126213,-,189,False
ENST00000378545.3,ENSG00000162585.12,C1orf86,protein_coding,chr1,2120989,2121150,-,161,False
ENST00000440825.2,ENSG00000162585.12,C1orf86,protein_coding,chr1,2121018,2124299,-,416,False
ENST00000420515.1,ENSG00000162585.12,C1orf86,protein_coding,chr1,2123339,2124299,-,960,False
ENST00000597060.1,ENSG00000269554.1,AL590822.2,protein_coding,chr1,2121236,2123179,+,1403,False
ENST00000545087.1,ENSG00000203301.2,AL590822.1,protein_coding,chr1,2143359,2145620,-,1610,False
ENST00000378536.4,ENSG00000157933.9,SKI,protein_coding,chr1,2160133,2241558,+,3429,False
ENST00000378531.3,ENSG00000116151.9,MORN1,protein_coding,chr1,2252691,2323146,-,307,False
ENST00000378529.3,ENSG00000116151.9,MORN1,protein_coding,chr1,2286615,2323146,-,448,False
ENST00000378525.2,ENSG00000116151.9,MORN1,protein_coding,chr1,2309493,2323110,-,1180,False
